;data;CDI;ano;mês;variação
0;1986.03;0,87;1986;03;
1;1986.04;1,37;1986;04;0,5747126436781611
2;1986.05;1,32;1986;05;-0,03649635036496357
3;1986.06;1,57;1986;06;0,18939393939393945
4;1986.07;2,23;1986;07;0,42038216560509545
5;1986.08;2,9;1986;08;0,3004484304932735
6;1986.09;3,3;1986;09;0,13793103448275867
7;1986.10;3,45;1986;10;0,045454545454545636
8;1986.11;5,22;1986;11;0,5130434782608695
9;1986.12;10,5;1986;12;1,0114942528735633
10;1987.01;14,65;1987;01;0,39523809523809517
11;1987.02;22,26;1987;02;0,5194539249146759
12;1987.03;14,0;1987;03;-0,37106918238993714
13;1987.04;16,7;1987;04;0,19285714285714284
14;1987.05;25,69;1987;05;0,5383233532934133
15;1987.06;18,89;1987;06;-0,26469443363176337
16;1987.07;9,47;1987;07;-0,4986765484383271
17;1987.08;8,48;1987;08;-0,1045406546990496
18;1987.09;8,73;1987;09;0,02948113207547176
19;1987.10;10,41;1987;10;0,1924398625429553
20;1987.11;13,74;1987;11;0,3198847262247839
21;1987.12;15,61;1987;12;0,1360989810771469
22;1988.01;17,23;1988;01;0,10377962844330568
23;1988.02;18,65;1988;02;0,08241439349970969
24;1988.03;16,91;1988;03;-0,09329758713136727
25;1988.04;20,23;1988;04;0,19633353045535196
26;1988.05;18,67;1988;05;-0,07711319822046458
27;1988.06;20,22;1988;06;0,0830208891269415
28;1988.07;24,49;1988;07;0,21117705242334317
29;1988.08;22,68;1988;08;-0,07390771743568803
30;1988.09;25,99;1988;09;0,14594356261022923
31;1988.10;29,48;1988;10;0,1342824163139671
32;1988.11;27,92;1988;11;-0,052917232021709615
33;1988.12;30,04;1988;12;0,0759312320916905
34;1989.01;23,87;1989;01;-0,20539280958721695
35;1989.02;19,36;1989;02;-0,1889400921658987
36;1989.03;20,56;1989;03;0,06198347107438007
37;1989.04;11,47;1989;04;-0,44212062256809337
38;1989.05;11,59;1989;05;0,01046207497820384
39;1989.06;27,34;1989;06;1,3589301121656603
40;1989.07;32,76;1989;07;0,19824433065106062
41;1989.08;35,41;1989;08;0,08089133089133083
42;1989.09;38,35;1989;09;0,0830273933916974
43;1989.10;47,24;1989;10;0,2318122555410691
44;1989.11;48,07;1989;11;0,017569856054191257
45;1989.12;64,22;1989;12;0,3359683794466404
46;1990.01;68,23;1990;01;0,06244160697602008
47;1990.02;79,94;1990;02;0,17162538472812527
48;1990.03;36,39;1990;03;-0,5447835876907681
49;1990.04;5,12;1990;04;-0,8593020060456169
50;1990.05;5,94;1990;05;0,16015625
51;1990.06;9,38;1990;06;0,5791245791245792
52;1990.07;14,34;1990;07;0,528784648187633
53;1990.08;12,65;1990;08;-0,11785216178521618
54;1990.09;17,5;1990;09;0,383399209486166
55;1990.10;21,97;1990;10;0,25542857142857134
56;1990.11;23,05;1990;11;0,04915794264906692
57;1990.12;27,78;1990;12;0,2052060737527115
58;1991.01;23,46;1991;01;-0,1555075593952484
59;1991.02;8,72;1991;02;-0,6283034953111679
60;1991.03;10,01;1991;03;0,14793577981651373
61;1991.04;12,49;1991;04;0,2477522477522478
62;1991.05;12,64;1991;05;0,012009607686148893
63;1991.06;10,66;1991;06;-0,15664556962025322
64;1991.07;13,26;1991;07;0,24390243902439024
65;1991.08;15,97;1991;08;0,20437405731523395
66;1991.09;20,01;1991;09;0,2529743268628679
67;1991.10;26,1;1991;10;0,30434782608695654
68;1991.11;31,98;1991;11;0,22528735632183894
69;1991.12;30,46;1991;12;-0,047529706066291366
70;1992.01;29,07;1992;01;-0,04563361785948783
71;1992.02;30,32;1992;02;0,04299965600275191
72;1992.03;25,2;1992;03;-0,16886543535620058
73;1992.04;23,75;1992;04;-0,05753968253968256
74;1992.05;22,94;1992;05;-0,03410526315789464
75;1992.06;24,24;1992;06;0,05666957279860485
76;1992.07;26,31;1992;07;0,08539603960396036
77;1992.08;25,73;1992;08;-0,02204484986697064
78;1992.09;27,65;1992;09;0,07462106490478027
79;1992.10;28,19;1992;10;0,019529837251356374
80;1992.11;26,09;1992;11;-0,07449450159631077
81;1992.12;26,06;1992;12;-0,001149865848984355
82;1993.01;28,78;1993;01;0,10437452033768246
83;1993.02;28,56;1993;02;-0,007644197359277349
84;1993.03;28,54;1993;03;-0,0007002801120448154
85;1993.04;30,39;1993;04;0,06482130343377723
86;1993.05;30,93;1993;05;0,017769002961500524
87;1993.06;31,8;1993;06;0,02812803103782735
88;1993.07;32,79;1993;07;0,031132075471698162
89;1993.08;34,8;1993;08;0,06129917657822492
90;1993.09;37,43;1993;09;0,07557471264367832
91;1993.10;38,39;1993;10;0,02564787603526586
92;1993.11;38,07;1993;11;-0,008335504037509822
93;1993.12;40,64;1993;12;0,06750722353559224
94;1994.01;43,25;1994;01;0,06422244094488194
95;1994.02;41,46;1994;02;-0,041387283236994254
96;1994.03;46,98;1994;03;0,1331403762662806
97;1994.04;45,97;1994;04;-0,021498510004257065
98;1994.05;48,12;1994;05;0,046769632368936165
99;1994.06;48,43;1994;06;0,006442227763923558
100;1994.07;6,68;1994;07;-0,8620689655172413
101;1994.08;4,16;1994;08;-0,3772455089820359
102;1994.09;3,85;1994;09;-0,07451923076923073
103;1994.10;3,65;1994;10;-0,051948051948051965
104;1994.11;4,11;1994;11;0,12602739726027412
105;1994.12;3,84;1994;12;-0,06569343065693445
106;1995.01;3,48;1995;01;-0,09375
107;1995.02;3,24;1995;02;-0,06896551724137923
108;1995.03;4,41;1995;03;0,36111111111111116
109;1995.04;4,22;1995;04;-0,043083900226757454
110;1995.05;4,27;1995;05;0,011848341232227444
111;1995.06;4,05;1995;06;-0,051522248243559665
112;1995.07;4,01;1995;07;-0,00987654320987652
113;1995.08;3,81;1995;08;-0,049875311720698146
114;1995.09;3,25;1995;09;-0,14698162729658792
115;1995.10;3,06;1995;10;-0,058461538461538454
116;1995.11;2,84;1995;11;-0,07189542483660138
117;1995.12;2,73;1995;12;-0,03873239436619713
