;data;Dólar;ano;mês;variação
0;1953.01;6,6836e-15;1953;01;
1;1953.02;1,3378e-14;1953;02;1,001615895625112
2;1953.03;1,3378e-14;1953;03;0,0
3;1953.04;1,4884e-14;1953;04;0,11257288084915551
4;1953.05;1,4276e-14;1953;05;-0,04084923407686103
5;1953.06;1,567e-14;1953;06;0,09764639955169518
6;1953.07;1,5846e-14;1953;07;0,011231652839821304
7;1953.08;1,4425e-14;1953;08;-0,08967562791871775
8;1953.09;1,3632e-14;1953;09;-0,0549740034662044
9;1953.10;1,3491e-14;1953;10;-0,010343309859154992
10;1953.11;1,3659e-14;1953;11;0,012452746275294801
11;1953.12;1,8587e-14;1953;12;0,36078775898674853
12;1954.01;1,9783e-14;1954;01;0,06434604831333735
13;1954.02;1,9416e-14;1954;02;-0,01855128140322493
14;1954.03;2,125e-14;1954;03;0,09445817882159036
15;1954.04;2,0508e-14;1954;04;-0,03491764705882361
16;1954.05;1,8416e-14;1954;05;-0,1020089721084455
17;1954.06;2,0012e-14;1954;06;0,08666377063423125
18;1954.07;2,0422e-14;1954;07;0,020487707375574482
19;1954.08;2,1288e-14;1954;08;0,04240524924101474
20;1954.09;2,177e-14;1954;09;0,02264186396091694
21;1954.10;2,255e-14;1954;10;0,035829122645842704
22;1954.11;2,3339e-14;1954;11;0,034988913525499044
23;1954.12;2,5331e-14;1954;12;0,08535070054415361
24;1955.01;2,6158e-14;1955;01;0,032647743871145884
25;1955.02;2,5468e-14;1955;02;-0,026378163468155025
26;1955.03;2,5847e-14;1955;03;0,014881419820951702
27;1955.04;2,6739e-14;1955;04;0,03451077494486787
28;1955.05;2,6909e-14;1955;05;0,006357754590672782
29;1955.06;2,6897e-14;1955;06;-0,00044594745252513057
30;1955.07;2,6422e-14;1955;07;-0,017659962077555158
31;1955.08;2,5261e-14;1955;08;-0,04394065551434401
32;1955.09;2,4867e-14;1955;09;-0,01559716559122759
33;1955.10;2,3613e-14;1955;10;-0,05042827844130782
34;1955.11;2,2915e-14;1955;11;-0,029559988142125126
35;1955.12;2,3114e-14;1955;12;0,008684267946759805
36;1956.01;2,3484e-14;1956;01;0,01600761443281118
37;1956.02;2,4357e-14;1956;02;0,03717424629534993
38;1956.03;2,4252e-14;1956;03;-0,004310875723611329
39;1956.04;2,4752e-14;1956;04;0,020616856341745038
40;1956.05;2,5595e-14;1956;05;0,034057853910794966
41;1956.06;2,7636e-14;1956;06;0,0797421371361593
42;1956.07;2,7496e-14;1956;07;-0,005065856129685908
43;1956.08;2,5455e-14;1956;08;-0,07422897876054702
44;1956.09;2,5273e-14;1956;09;-0,0071498723237085615
45;1956.10;2,3636e-14;1956;10;-0,06477268230918365
46;1956.11;2,3612e-14;1956;11;-0,0010154002369268111
47;1956.12;2,2933e-14;1956;12;-0,028756564458749745
48;1957.01;2,3091e-14;1957;01;0,0068896350237648285
49;1957.02;2,3113e-14;1957;02;0,0009527521545191764
50;1957.03;2,3345e-14;1957;03;0,010037641154328591
51;1957.04;2,3057e-14;1957;04;-0,012336688798457951
52;1957.05;2,424e-14;1957;05;0,05130762891963392
53;1957.06;2,5909e-14;1957;06;0,06885313531353132
54;1957.07;2,5126e-14;1957;07;-0,030221158670732162
55;1957.08;2,6306e-14;1957;08;0,04696330494308687
56;1957.09;2,8145e-14;1957;09;0,06990800577814937
57;1957.10;2,9294e-14;1957;10;0,04082430271806725
58;1957.11;3,0825e-14;1957;11;0,052263262101454044
59;1957.12;3,3171e-14;1957;12;0,07610705596107081
60;1958.01;3,3045e-14;1958;01;-0,003798498688613594
61;1958.02;3,5479e-14;1958;02;0,07365713421092446
62;1958.03;3,6807e-14;1958;03;0,03743059274500404
63;1958.04;4,0315e-14;1958;04;0,09530795772543277
64;1958.05;4,6425e-14;1958;05;0,15155649262061255
65;1958.06;4,6558e-14;1958;06;0,002864835756596573
66;1958.07;4,7874e-14;1958;07;0,028265818978478574
67;1958.08;4,9429e-14;1958;08;0,032481096210886795
68;1958.09;5,6224e-14;1958;09;0,137469906330292
69;1958.10;5,2279e-14;1958;10;-0,07016576550939091
70;1958.11;5,0502e-14;1958;11;-0,03399070372424884
71;1958.12;4,9171e-14;1958;12;-0,02635539186566871
72;1959.01;5,1633e-14;1959;01;0,0500701633076408
73;1959.02;5,0578e-14;1959;02;-0,020432669029496697
74;1959.03;4,9767e-14;1959;03;-0,016034639566609887
75;1959.04;4,8655e-14;1959;04;-0,02234412361605076
76;1959.05;4,7676e-14;1959;05;-0,020121261946357105
77;1959.06;4,8985e-14;1959;06;0,027456162429734032
78;1959.07;5,3149e-14;1959;07;0,08500561396345829
79;1959.08;5,4545e-14;1959;08;0,02626578110594746
80;1959.09;5,4545e-14;1959;09;0,0
81;1959.10;5,7476e-14;1959;10;0,053735447795398184
82;1959.11;6,3029e-14;1959;11;0,09661423898670751
83;1959.12;6,5455e-14;1959;12;0,03849021878817682
