;data;IBOVESPA fechamento diário;dia;mês;ano;variação
0;23/02/2023;107593;23;02;2023;
1;22/02/2023;107152;22;02;2023;-0,004098779660386853
2;17/02/2023;109177;17;02;2023;0,018898387337613842
3;16/02/2023;109941;16;02;2023;0,006997810894235901
4;15/02/2023;109600;15;02;2023;-0,0031016636195777547
5;14/02/2023;107849;14;02;2023;-0,015976277372262815
6;13/02/2023;108836;13;02;2023;0,009151684299344431
7;10/02/2023;108078;10;02;2023;-0,006964607299055459
8;09/02/2023;108008;09;02;2023;-0,000647680378985549
9;08/02/2023;109951;08;02;2023;0,0179894081919858
10;07/02/2023;107830;07;02;2023;-0,019290411183163436
11;06/02/2023;108722;06;02;2023;0,008272280441435687
12;03/02/2023;108523;03;02;2023;-0,0018303563216276464
13;02/02/2023;110141;02;02;2023;0,014909281903375371
14;01/02/2023;112074;01;02;2023;0,017550231067449795
15;31/01/2023;113431;31;01;2023;0,012108071452790137
16;30/01/2023;112273;30;01;2023;-0,010208849432694733
17;27/01/2023;112316;27;01;2023;0,00038299502106475813
18;26/01/2023;114178;26;01;2023;0,016578225720289108
19;25/01/2023;114270;25;01;2023;0,0008057594282611102
20;24/01/2023;113028;24;01;2023;-0,010868994486741945
21;23/01/2023;111737;23;01;2023;-0,011421948543723692
22;20/01/2023;112041;20;01;2023;0,0027206744408745376
23;19/01/2023;112922;19;01;2023;0,00786319293829929
24;18/01/2023;112228;18;01;2023;-0,006145835178264614
25;17/01/2023;111439;17;01;2023;-0,007030331111665511
26;16/01/2023;109213;16;01;2023;-0,019975053616776872
27;13/01/2023;110916;13;01;2023;0,015593381740268919
28;12/01/2023;111850;12;01;2023;0,008420786901799593
29;11/01/2023;112517;11;01;2023;0,005963343763969675
30;10/01/2023;110817;10;01;2023;-0,015108827999324559
31;09/01/2023;109130;09;01;2023;-0,0152232960646832
32;06/01/2023;108964;06;01;2023;-0,001521121598094033
33;05/01/2023;107641;05;01;2023;-0,012141624756800362
34;04/01/2023;105334;04;01;2023;-0,02143235384286657
35;03/01/2023;104166;03;01;2023;-0,011088537414320143
36;02/01/2023;106376;02;01;2023;0,021216135783268975
37;29/12/2022;109735;29;12;2022;0,03157667142964571
38;28/12/2022;110237;28;12;2022;0,004574657128536996
39;27/12/2022;108578;27;12;2022;-0,01504939357928825
40;26/12/2022;108738;26;12;2022;0,001473595019248819
41;23/12/2022;109698;23;12;2022;0,008828560392870832
42;22/12/2022;107552;22;12;2022;-0,019562799686411836
43;21/12/2022;107433;21;12;2022;-0,0011064415352574075
44;20/12/2022;106864;20;12;2022;-0,005296324220677051
45;19/12/2022;104740;19;12;2022;-0,019875729899685557
46;16/12/2022;102856;16;12;2022;-0,017987397364903623
47;15/12/2022;103738;15;12;2022;0,008575095278836375
48;14/12/2022;103746;14;12;2022;7,711735333248981e-05
49;13/12/2022;103540;13;12;2022;-0,0019856187226495736
50;12/12/2022;105343;12;12;2022;0,017413559976820592
51;09/12/2022;107520;09;12;2022;0,02066582497175884
52;08/12/2022;107249;08;12;2022;-0,0025204613095237693
53;07/12/2022;109069;07;12;2022;0,016969855196784955
54;06/12/2022;110189;06;12;2022;0,010268728969734742
55;05/12/2022;109401;05;12;2022;-0,0071513490457305595
56;02/12/2022;111924;02;12;2022;0,023061946417308743
57;01/12/2022;110926;01;12;2022;-0,008916764947643041
58;30/11/2022;112486;30;11;2022;0,01406342967383667
59;29/11/2022;110910;29;11;2022;-0,014010632434258485
60;28/11/2022;108782;28;11;2022;-0,01918672797763954
61;25/11/2022;108977;25;11;2022;0,0017925759776433736
62;24/11/2022;111831;24;11;2022;0,026189012360406272
63;23/11/2022;108841;23;11;2022;-0,026736772451288138
64;22/11/2022;109037;22;11;2022;0,0018007919809630568
65;21/11/2022;109748;21;11;2022;0,0065207223236150025
