;data;INPC;ano;mês;variação
0;1979.03;5,5765e-09;1979;03;
1;1979.04;5,7689e-09;1979;04;0,034501927732448534
2;1979.05;5,8704e-09;1979;05;0,01759434207561239
3;1979.06;6,0465e-09;1979;06;0,02999795584627951
4;1979.07;6,3705e-09;1979;07;0,05358471843215096
5;1979.08;6,739e-09;1979;08;0,057844753159092654
6;1979.09;7,1843e-09;1979;09;0,0660780531236087
7;1979.10;7,5481e-09;1979;10;0,050638197179961875
8;1979.11;8,0089e-09;1979;11;0,06104847577536088
9;1979.12;8,3698e-09;1979;12;0,045062368115471596
10;1980.01;8,919e-09;1980;01;0,06561686061793592
11;1980.02;9,289e-09;1980;02;0,0414844713532907
12;1980.03;9,7649e-09;1980;03;0,051232640757885584
13;1980.04;1,0239e-08;1980;04;0,04855144445923676
14;1980.05;1,0805e-08;1980;05;0,05527883582381099
15;1980.06;1,1402e-08;1980;06;0,055252198056455315
16;1980.07;1,2031e-08;1980;07;0,05516576039291343
17;1980.08;1,265e-08;1980;08;0,05145041974898179
18;1980.09;1,3213e-08;1980;09;0,04450592885375482
19;1980.10;1,4487e-08;1980;10;0,09642019223492015
20;1980.11;1,565e-08;1980;11;0,08027887071167261
21;1980.12;1,6715e-08;1980;12;0,06805111821086252
22;1981.01;1,7753e-08;1981;01;0,062099910260245306
23;1981.02;1,8827e-08;1981;02;0,06049681743930613
24;1981.03;1,9835e-08;1981;03;0,053540128538800635
25;1981.04;2,1132e-08;1981;04;0,06538946307033022
26;1981.05;2,2297e-08;1981;05;0,05512966117736129
27;1981.06;2,3428e-08;1981;06;0,05072431268780542
28;1981.07;2,4881e-08;1981;07;0,062019805361106295
29;1981.08;2,6405e-08;1981;08;0,06125155741328725
30;1981.09;2,7798e-08;1981;09;0,05275516000757419
31;1981.10;2,9083e-08;1981;10;0,04622634721922436
32;1981.11;3,0604e-08;1981;11;0,05229859368015677
33;1981.12;3,2345e-08;1981;12;0,05688798849823562
34;1982.01;3,4516e-08;1982;01;0,06712011130004636
35;1982.02;3,6786e-08;1982;02;0,06576660099663934
36;1982.03;3,8713e-08;1982;03;0,052384059152938534
37;1982.04;4,0899e-08;1982;04;0,056466819931289436
38;1982.05;4,3625e-08;1982;05;0,06665199638132968
39;1982.06;4,6741e-08;1982;06;0,07142693409742118
40;1982.07;4,9729e-08;1982;07;0,06392674525577124
41;1982.08;5,2497e-08;1982;08;0,0556616863399626
42;1982.09;5,4757e-08;1982;09;0,043050079052136425
43;1982.10;5,6896e-08;1982;10;0,039063498730755875
44;1982.11;5,9888e-08;1982;11;0,05258717660292467
45;1982.12;6,479e-08;1982;12;0,08185279187817263
46;1983.01;7,0715e-08;1983;01;0,0914492977311312
47;1983.02;7,6401e-08;1983;02;0,08040726861344849
48;1983.03;8,1917e-08;1983;03;0,07219800787947817
49;1983.04;8,7296e-08;1983;04;0,0656640257821941
50;1983.05;9,3152e-08;1983;05;0,0670821114369502
