;data;IPCA;ano;mês;variação
0;1979.12;7,6183e-09;1979;12;
1;1980.01;8,1223e-09;1980;01;0,06615649160573867
2;1980.02;8,4973e-09;1980;02;0,04616918853034235
3;1980.03;9,0104e-09;1980;03;0,06038388664634642
4;1980.04;9,4867e-09;1980;04;0,052861138240255734
5;1980.05;1,0028e-08;1980;05;0,05705882973004317
6;1980.06;1,056e-08;1980;06;0,053051455923414315
7;1980.07;1,1145e-08;1980;07;0,05539772727272729
8;1980.08;1,1697e-08;1980;08;0,049528936742934127
9;1980.09;1,2191e-08;1980;09;0,04223305120971177
10;1980.10;1,3347e-08;1980;10;0,09482405052907894
11;1980.11;1,4238e-08;1980;11;0,06675657451112604
12;1980.12;1,518e-08;1980;12;0,06616097766540263
13;1981.01;1,6217e-08;1981;01;0,06831357048748332
14;1981.02;1,7256e-08;1981;02;0,0640685700191157
15;1981.03;1,8113e-08;1981;03;0,049663885025498455
16;1981.04;1,9284e-08;1981;04;0,0646496991111356
17;1981.05;2,0356e-08;1981;05;0,05559012652976558
18;1981.06;2,1479e-08;1981;06;0,055168009432108533
19;1981.07;2,2823e-08;1981;07;0,06257274547232172
20;1981.08;2,4077e-08;1981;08;0,054944573456600976
21;1981.09;2,5343e-08;1981;09;0,05258130165718322
22;1981.10;2,663e-08;1981;10;0,05078325375843429
23;1981.11;2,8034e-08;1981;11;0,052722493428464245
24;1981.12;2,9695e-08;1981;12;0,0592494827709209
25;1982.01;3,1763e-08;1982;01;0,06964135376325986
26;1982.02;3,3871e-08;1982;02;0,06636652709126967
27;1982.03;3,5806e-08;1982;03;0,05712851702046007
28;1982.04;3,7914e-08;1982;04;0,05887281461207605
29;1982.05;4,0438e-08;1982;05;0,06657171493379765
30;1982.06;4,3311e-08;1982;06;0,07104703496711018
31;1982.07;4,6065e-08;1982;07;0,0635866177183626
32;1982.08;4,8816e-08;1982;08;0,05971996092478005
33;1982.09;5,1296e-08;1982;09;0,05080301540478538
