;data;Salário mínimo vigente;ano;mês;variação
0;1940.07;8,7273e-14;1940;07;
1;1940.08;8,7273e-14;1940;08;0,0
2;1940.09;8,7273e-14;1940;09;0,0
3;1940.10;8,7273e-14;1940;10;0,0
4;1940.11;8,7273e-14;1940;11;0,0
5;1940.12;8,7273e-14;1940;12;0,0
6;1941.01;8,7273e-14;1941;01;0,0
7;1941.02;8,7273e-14;1941;02;0,0
8;1941.03;8,7273e-14;1941;03;0,0
9;1941.04;8,7273e-14;1941;04;0,0
10;1941.05;8,7273e-14;1941;05;0,0
11;1941.06;8,7273e-14;1941;06;0,0
12;1941.07;8,7273e-14;1941;07;0,0
13;1941.08;8,7273e-14;1941;08;0,0
14;1941.09;8,7273e-14;1941;09;0,0
15;1941.10;8,7273e-14;1941;10;0,0
16;1941.11;8,7273e-14;1941;11;0,0
17;1941.12;8,7273e-14;1941;12;0,0
18;1942.01;8,7273e-14;1942;01;0,0
19;1942.02;8,7273e-14;1942;02;0,0
20;1942.03;8,7273e-14;1942;03;0,0
21;1942.04;8,7273e-14;1942;04;0,0
22;1942.05;8,7273e-14;1942;05;0,0
23;1942.06;8,7273e-14;1942;06;0,0
24;1942.07;8,7273e-14;1942;07;0,0
25;1942.08;8,7273e-14;1942;08;0,0
26;1942.09;8,7273e-14;1942;09;0,0
27;1942.10;8,7273e-14;1942;10;0,0
28;1942.11;8,7273e-14;1942;11;0,0
29;1942.12;8,7273e-14;1942;12;0,0
30;1943.01;8,7273e-14;1943;01;0,0
31;1943.02;8,7273e-14;1943;02;0,0
32;1943.03;8,7273e-14;1943;03;0,0
33;1943.04;8,7273e-14;1943;04;0,0
34;1943.05;8,7273e-14;1943;05;0,0
35;1943.06;8,7273e-14;1943;06;0,0
36;1943.07;1,0909e-13;1943;07;0,2499856771280924
37;1943.08;1,0909e-13;1943;08;0,0
38;1943.09;1,0909e-13;1943;09;0,0
39;1943.10;1,0909e-13;1943;10;0,0
40;1943.11;1,0909e-13;1943;11;0,0
41;1943.12;1,3818e-13;1943;12;0,2666605555046291
42;1944.01;1,3818e-13;1944;01;0,0
43;1944.02;1,3818e-13;1944;02;0,0
44;1944.03;1,3818e-13;1944;03;0,0
45;1944.04;1,3818e-13;1944;04;0,0
46;1944.05;1,3818e-13;1944;05;0,0
47;1944.06;1,3818e-13;1944;06;0,0
48;1944.07;1,3818e-13;1944;07;0,0
49;1944.08;1,3818e-13;1944;08;0,0
50;1944.09;1,3818e-13;1944;09;0,0
51;1944.10;1,3818e-13;1944;10;0,0
52;1944.11;1,3818e-13;1944;11;0,0
53;1944.12;1,3818e-13;1944;12;0,0
54;1945.01;1,3818e-13;1945;01;0,0
55;1945.02;1,3818e-13;1945;02;0,0
56;1945.03;1,3818e-13;1945;03;0,0
57;1945.04;1,3818e-13;1945;04;0,0
58;1945.05;1,3818e-13;1945;05;0,0
